_is_fact,_is_query,_is_rule,_text,corefLemmaSeq,depSeq,lemmaSeq,posSeq,tagSeq
0,0,0,"For nearly 30 years,"," for nearly 30 year ,", prep advmod nummod pobj punct," for nearly 30 year ,", ADP ADV NUM NOUN PUNCT," IN RB CD NNS ,"
0,0,0,"ArXiv has served the public and research communities by providing open access to scholarly articles,"," ArXiv have serve the public and research community by provide open access to scholarly article ,", nsubj aux ROOT det amod cc conj dobj prep pcomp amod dobj prep amod pobj punct," ArXiv have serve the public and research community by provide open access to scholarly article ,", PROPN AUX VERB DET NOUN CCONJ NOUN NOUN ADP VERB ADJ NOUN ADP ADJ NOUN PUNCT," NNP VBZ VBN DT NN CC NN NNS IN VBG JJ NN IN JJ NNS ,"
0,0,0,"from the vast branches of physics to the many subdisciplines of computer science to everything in between,"," from the vast branch of physic to the many subdiscipline of computer science to everything in between ,", prep det amod pobj prep pobj prep det amod pobj prep compound pobj prep pobj prep prep punct," from the vast branch of physic to the many subdiscipline of computer science to everything in between ,", ADP DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADP NOUN NOUN ADP PRON ADP ADP PUNCT," IN DT JJ NNS IN NNS IN DT JJ NNS IN NN NN IN NN IN IN ,"
0,0,0,"including math,"," include math ,", prep pobj punct," include math ,", VERB NOUN PUNCT," VBG NN ,"
0,0,0,"statistics,"," statistic ,", conj punct," statistic ,", NOUN PUNCT," NNS ,"
0,0,0,"electrical engineering,"," electrical engineering ,", amod conj punct," electrical engineering ,", ADJ NOUN PUNCT," JJ NN ,"
0,0,0,"quantitative biology,"," quantitative biology ,", amod conj punct," quantitative biology ,", ADJ NOUN PUNCT," JJ NN ,"
0,0,0,and economics., and economic ., cc conj punct, and economic ., CCONJ NOUN PUNCT, CC NNS .
0,0,0,"This rich corpus of information offers significant,"," this rich corpus of information offer significant ,", det amod nsubj prep pobj ROOT acomp punct," this rich corpus of information offer significant ,", DET ADJ NOUN ADP NOUN VERB ADJ PUNCT," DT JJ NN IN NN VBZ JJ ,"
0,0,0,"but sometimes overwhelming depth.
"," but sometimes overwhelming depth . 
", cc advmod conj dobj punct ," but sometimes overwhelming depth . 
", CCONJ ADV ADJ NOUN PUNCT SPACE, CC RB JJ NN . _SP
0,0,0,"In these times of unique global challenges,"," in these time of unique global challenge ,", prep det pobj prep amod amod pobj punct," in these time of unique global challenge ,", ADP DET NOUN ADP ADJ ADJ NOUN PUNCT," IN DT NNS IN JJ JJ NNS ,"
0,0,0,efficient extraction of insights from data is essential., efficient extraction of insight from datum be essential ., amod nsubj prep pobj prep pobj ROOT acomp punct, efficient extraction of insight from datum be essential ., ADJ NOUN ADP NOUN ADP NOUN AUX ADJ PUNCT, JJ NN IN NNS IN NNS VBZ JJ .
0,0,0,"To help make the arXiv more accessible,"," to help make ArXiv more accessible ,", aux advcl xcomp det nsubj advmod ccomp punct," to help make the arXiv more accessible ,", PART VERB VERB DET PROPN ADV ADJ PUNCT," TO VB VB DT NNP RBR JJ ,"
0,0,0,"we present a free,"," -PRON- present a free ,", nsubj ROOT det amod punct," -PRON- present a free ,", PRON VERB DET ADJ PUNCT," PRP VBP DT JJ ,"
0,0,0,"open pipeline on Kaggle to the machine-readable arXiv dataset: a repository of 1.7 million articles,"," open pipeline on Kaggle to the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more", amod dobj prep pobj prep det npadvmod punct amod compound pobj punct det appos prep compound nummod pobj punct," open pipeline on Kaggle to the machine - readable arXiv dataset : a repository of 1.7 million article ,", ADJ NOUN ADP PROPN ADP DET NOUN PUNCT ADJ PROPN NOUN PUNCT DET NOUN ADP NUM NUM NOUN PUNCT," JJ NN IN NNP IN DT NN HYPH JJ NNP NN : DT NN IN CD CD NNS ,"
0,0,0,"with relevant features such as article titles,"," the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more", prep amod pobj amod prep compound pobj punct," with relevant feature such as article title ,", ADP ADJ NOUN ADJ SCONJ NOUN NOUN PUNCT," IN JJ NNS JJ IN NN NNS ,"
0,0,0,"authors,"," the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more", conj punct," author ,", NOUN PUNCT," NNS ,"
0,0,0,"categories,"," the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more", conj punct," category ,", NOUN PUNCT," NNS ,"
0,0,0,"abstracts,"," the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more", conj punct," abstract ,", NOUN PUNCT," NNS ,"
0,0,0,"full text PDFs,"," the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more", amod compound conj punct," full text pdf ,", ADJ NOUN NOUN PUNCT," JJ NN NNS ,"
0,0,0,"and more.
"," the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more . 
", cc conj punct ," and more . 
", CCONJ ADJ PUNCT SPACE, CC JJR . _SP
0,0,0,"Our hope is to empower new use cases that can lead to the exploration of richer machine learning techniques that combine multi-modal features towards applications like trend analysis,"," -PRON- hope be to empower new use case that can lead to the exploration of rich machine learning technique that combine multi - modal feature towards application like trend analysis ,", poss nsubj ROOT aux xcomp amod compound dobj nsubj aux relcl prep det pobj prep amod compound compound pobj nsubj relcl dep dep amod dobj prep pobj prep compound pobj punct," -PRON- hope be to empower new use case that can lead to the exploration of rich machine learning technique that combine multi - modal feature towards application like trend analysis ,", DET NOUN AUX PART VERB ADJ NOUN NOUN DET VERB VERB ADP DET NOUN ADP ADJ NOUN NOUN NOUN DET VERB ADJ ADJ ADJ VERB ADP NOUN SCONJ NOUN NOUN PUNCT," PRP$ NN VBZ TO VB JJ NN NNS WDT MD VB IN DT NN IN JJR NN NN NNS WDT VBP JJ JJ JJ VBZ IN NNS IN NN NN ,"
0,0,0,"paper recommender engines,"," paper recommender engine ,", compound compound conj punct," paper recommender engine ,", NOUN NOUN NOUN PUNCT," NN NN NNS ,"
0,0,0,"category prediction,"," category prediction ,", compound conj punct," category prediction ,", NOUN NOUN PUNCT," NN NN ,"
0,0,0,"co-citation networks,"," co - citation network ,", dep dep amod conj punct," co - citation network ,", NOUN ADJ ADJ NOUN PUNCT," NN JJ JJ NNS ,"
0,0,0,"knowledge graph construction and semantic search interfaces.
"," knowledge graph construction and semantic search interface . 
", compound compound conj cc amod conj conj punct ," knowledge graph construction and semantic search interface . 
", NOUN NOUN NOUN CCONJ ADJ NOUN NOUN PUNCT SPACE, NN NN NN CC JJ NN NNS . _SP
0,0,0,The dataset is freely available via Google Cloud Storage buckets (more info here).," the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more be freely available via Google Cloud Storage bucket ( more info here ) .", det nsubj ROOT advmod acomp prep compound compound compound pobj punct amod appos advmod punct punct, the dataset be freely available via Google Cloud Storage bucket ( more info here ) ., DET NOUN AUX ADV ADJ ADP PROPN PROPN PROPN NOUN PUNCT ADJ NOUN ADV PUNCT PUNCT, DT NN VBZ RB JJ IN NNP NNP NNP NNS -LRB- JJR NN RB -RRB- .
0,0,0,"Stay tuned for weekly updates to the dataset!
"," stay tune for weekly update to the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more ! 
", ROOT acomp prep amod pobj prep det pobj punct ," stay tune for weekly update to the dataset ! 
", VERB VERB ADP ADJ NOUN ADP DET NOUN PUNCT SPACE, VB VBN IN JJ NNS IN DT NN . _SP
0,0,0,"ArXiv is a collaboratively funded,"," ArXiv be a collaboratively funded ,", nsubj ROOT det advmod amod punct," ArXiv be a collaboratively funded ,", PROPN AUX DET ADV ADJ PUNCT," NNP VBZ DT RB JJ ,"
0,0,0,"community-supported resource founded by Paul Ginsparg in 1991 and maintained and operated by Cornell University.
"," community - support resource found by Paul Ginsparg in 1991 and maintain and operate by Cornell University . 
", npadvmod punct amod attr acl agent compound pobj prep pobj cc conj cc conj agent compound pobj punct ," community - support resource found by Paul Ginsparg in 1991 and maintain and operate by Cornell University . 
", NOUN PUNCT VERB NOUN VERB ADP PROPN PROPN ADP NUM CCONJ VERB CCONJ VERB ADP PROPN PROPN PUNCT SPACE, NN HYPH VBN NN VBN IN NNP NNP IN CD CC VBD CC VBN IN NNP NNP . _SP
0,0,0,The release of this dataset was featured further in a Kaggle blog post here.," the release of the machine - readable arXiv dataset : a repository of 1.7 million article , with relevant feature such as article title , author , category , abstract , full text pdf , and more be feature further in a Kaggle blog post here .", det nsubjpass prep det pobj auxpass ROOT advmod prep det compound compound pobj advmod punct, the release of this dataset be feature further in a Kaggle blog post here ., DET NOUN ADP DET NOUN AUX VERB ADV ADP DET PROPN NOUN NOUN ADV PUNCT, DT NN IN DT NN VBD VBN RB IN DT NNP NN NN RB .
